experiment_path,seed,model1_loss,model1_hamming,model1_accuracy,model2_loss,model2_hamming,model2_accuracy,y_test_violation,model_1_violation,model_2_violation
3_1.0_2_2,1,0.07386088371276855,0.03200000151991844,0.7559999823570251,0.10922127217054367,0.029066666960716248,0.8133333325386047,0.0,0.12266666666666666,0.07333333333333333
3_1.0_2_2,2,0.07108479738235474,0.030933333560824394,0.7746666669845581,0.14304564893245697,0.0273333340883255,0.8226666450500488,0.0,0.11466666666666667,0.06
3_1.0_2_2,3,0.07612231373786926,0.031066667288541794,0.7720000147819519,0.15358586609363556,0.030266666784882545,0.8199999928474426,0.0,0.12933333333333333,0.072
2_1.5_2_2,1,0.11399553716182709,0.04546666517853737,0.7226666808128357,0.12050122767686844,0.03266666829586029,0.8360000252723694,0.0,0.15466666666666667,0.076
2_1.5_2_2,2,0.10091511160135269,0.04106666520237923,0.7293333411216736,0.11703338474035263,0.030266666784882545,0.8506666421890259,0.0,0.152,0.06933333333333333
2_1.5_2_2,3,0.12296614795923233,0.05533333495259285,0.6893333196640015,0.16228847205638885,0.04506666585803032,0.7986666560173035,0.0,0.20933333333333334,0.108
2_0.5_1_3,1,0.05648799240589142,0.024000000208616257,0.800000011920929,0.0633968710899353,0.02213333360850811,0.8253333568572998,0.0,0.050666666666666665,0.030666666666666665
2_0.5_1_3,2,0.0596843920648098,0.023733332753181458,0.8066666722297668,0.06421458721160889,0.02213333360850811,0.8213333487510681,0.0,0.06,0.036
2_0.5_1_3,3,0.05705996975302696,0.02253333292901516,0.8133333325386047,0.06295179575681686,0.02160000056028366,0.8320000171661377,0.0,0.050666666666666665,0.029333333333333333
2_1.5_2_3,1,0.170322448015213,0.07800000160932541,0.4906666576862335,0.23481689393520355,0.06960000097751617,0.6240000128746033,0.0,0.396,0.18133333333333335
2_1.5_2_3,2,0.17665332555770874,0.0812000036239624,0.47999998927116394,0.25202497839927673,0.07253333181142807,0.6213333606719971,0.0,0.3933333333333333,0.19733333333333333
2_1.5_2_3,3,0.17511741816997528,0.0835999995470047,0.4866666793823242,0.22795456647872925,0.07440000027418137,0.6159999966621399,0.0,0.38533333333333336,0.21466666666666667
3_1.0_2_3,1,0.16181914508342743,0.07039999961853027,0.48533332347869873,0.16596294939517975,0.052266668528318405,0.6626666784286499,0.0,0.30266666666666664,0.144
3_1.0_2_3,2,0.16399428248405457,0.07146666944026947,0.47999998927116394,0.16980305314064026,0.05400000140070915,0.6586666703224182,0.0,0.2826666666666667,0.16533333333333333
3_1.0_2_3,3,0.15949754416942596,0.06973333656787872,0.5026666522026062,0.18498577177524567,0.0570666678249836,0.6520000100135803,0.0,0.2773333333333333,0.168
4_1.0_2_1,1,0.12885335087776184,0.05533333495259285,0.6880000233650208,0.17365142703056335,0.053599998354911804,0.690666675567627,0.0,0.256,0.21466666666666667
4_1.0_2_1,2,0.12663428485393524,0.052533332258462906,0.7026666402816772,0.18695750832557678,0.0549333319067955,0.6959999799728394,0.0,0.224,0.208
4_1.0_2_1,3,0.12921194732189178,0.05640000104904175,0.690666675567627,0.18503868579864502,0.0533333346247673,0.7093333601951599,0.0,0.25066666666666665,0.204
2_0.5_3_1,1,0.019452132284641266,0.007600000128149986,0.9293333292007446,0.02051842026412487,0.00706666661426425,0.937333345413208,0.0,0.025333333333333333,0.021333333333333333
2_0.5_3_1,2,0.021133149042725563,0.008799999952316284,0.9213333129882812,0.025054316967725754,0.00800000037997961,0.9319999814033508,0.0,0.021333333333333333,0.017333333333333333
2_0.5_3_1,3,0.020362436771392822,0.008266666904091835,0.9306666851043701,0.021601760759949684,0.0069333333522081375,0.9399999976158142,0.0,0.02,0.02
2_0.5_1_2,1,0.03250342234969139,0.012533333152532578,0.8920000195503235,0.035071663558483124,0.01119999960064888,0.9079999923706055,0.0,0.028,0.009333333333333334
2_0.5_1_2,2,0.02892681397497654,0.01146666705608368,0.8960000276565552,0.03344937786459923,0.011599999852478504,0.9039999842643738,0.0,0.013333333333333334,0.008
2_0.5_1_2,3,0.03280483931303024,0.013199999928474426,0.8893333077430725,0.05040000006556511,0.013066667132079601,0.8986666798591614,0.0,0.017333333333333333,0.009333333333333334
2_1.0_2_3,1,0.11403454840183258,0.052400000393390656,0.5693333148956299,0.12893643975257874,0.04520000144839287,0.6399999856948853,0.0,0.184,0.15066666666666667
2_1.0_2_3,2,0.110628642141819,0.04800000041723251,0.6213333606719971,0.11383671313524246,0.04613333195447922,0.653333306312561,0.0,0.17866666666666667,0.17066666666666666
