experiment_path,seed,model1_loss,model1_hamming,model1_accuracy,model2_loss,model2_hamming,model2_accuracy,y_test_violation,model_1_violation,model_2_violation
3_1.0_2_2,1,0.20838776230812073,0.09080000221729279,0.41999998688697815,0.21824368834495544,0.07519999891519547,0.54666668176651,0.0,0.4,0.2733333333333333
3_1.0_2_2,2,0.20770499110221863,0.09133332967758179,0.4000000059604645,0.22366900742053986,0.07360000163316727,0.5746666789054871,0.0,0.42533333333333334,0.25333333333333335
2_1.5_2_2,1,0.2481936812400818,0.10946666449308395,0.390666663646698,0.38097596168518066,0.09506666660308838,0.5746666789054871,0.0,0.46266666666666667,0.2653333333333333
2_1.5_2_2,2,0.24280646443367004,0.10546666383743286,0.4013333320617676,0.3204509913921356,0.08720000088214874,0.5839999914169312,0.0,0.45866666666666667,0.24533333333333332
5_0.5_1_1,1,0.09446360915899277,0.04013333469629288,0.6706666946411133,0.08363385498523712,0.035599999129772186,0.7106666564941406,0.0,0.184,0.15066666666666667
5_0.5_1_1,2,0.09423697739839554,0.036400001496076584,0.6986666917800903,0.08320153504610062,0.03173333406448364,0.7413333058357239,0.0,0.16933333333333334,0.128
5_0.5_3_2,1,0.12481271475553513,0.04866666719317436,0.6173333525657654,0.12398704141378403,0.04946666583418846,0.6000000238418579,0.0,0.22133333333333333,0.208
5_0.5_3_2,2,0.12322130054235458,0.05106666684150696,0.5893333554267883,0.12195146828889847,0.05066666752099991,0.5986666679382324,0.0,0.232,0.21066666666666667
5_1.5_2_1,1,0.26801666617393494,0.12013333290815353,0.3466666638851166,0.34720873832702637,0.11959999799728394,0.3973333239555359,0.0,0.5333333333333333,0.42933333333333334
5_1.5_2_1,2,0.2762797772884369,0.12413333356380463,0.34933334589004517,0.3251710832118988,0.1125333309173584,0.437333345413208,0.0,0.5213333333333333,0.42933333333333334
4_1.0_2_1,1,0.18746842443943024,0.0803999975323677,0.3986666798591614,0.17727473378181458,0.07253333181142807,0.48399999737739563,0.0,0.464,0.38666666666666666
4_1.0_2_1,2,0.1859554499387741,0.07840000092983246,0.41200000047683716,0.1741185337305069,0.07346666604280472,0.47333332896232605,0.0,0.444,0.37466666666666665
2_0.5_3_1,1,0.06495348364114761,0.024266665801405907,0.7946666479110718,0.061718475073575974,0.020400000736117363,0.8333333134651184,0.0,0.08133333333333333,0.052
2_0.5_3_1,2,0.0660758838057518,0.026533333584666252,0.7786666750907898,0.06028051674365997,0.020666666328907013,0.8360000252723694,0.0,0.088,0.04666666666666667
2_0.5_1_2,1,0.0626830905675888,0.026133334264159203,0.7893333435058594,0.06230061501264572,0.020800000056624413,0.8360000252723694,0.0,0.072,0.04533333333333334
2_0.5_1_2,2,0.0639742761850357,0.0270666666328907,0.7786666750907898,0.060231368988752365,0.02160000056028366,0.8226666450500488,0.0,0.07466666666666667,0.048
5_1.0_2_1,1,0.18017785251140594,0.07533333450555801,0.46266666054725647,0.17303018271923065,0.06920000165700912,0.518666684627533,0.0,0.384,0.33866666666666667
5_1.0_2_1,2,0.1801512986421585,0.07320000231266022,0.47066667675971985,0.17353782057762146,0.06960000097751617,0.5199999809265137,0.0,0.37066666666666664,0.3333333333333333
4_1.5_2_1,1,0.26104727387428284,0.1117333322763443,0.36933332681655884,0.29268020391464233,0.10266666859388351,0.47466665506362915,0.0,0.5213333333333333,0.392
4_1.5_2_1,2,0.2610045373439789,0.1111999973654747,0.35866665840148926,0.30703210830688477,0.10653333365917206,0.4560000002384186,0.0,0.548,0.432
3_0.5_3_1,1,0.09072037041187286,0.03866666555404663,0.6693333387374878,0.08650407195091248,0.035466667264699936,0.7039999961853027,0.0,0.204,0.15733333333333333
3_0.5_3_1,2,0.0908440351486206,0.03733333200216293,0.6746666431427002,0.08518599718809128,0.03480000048875809,0.7053333520889282,0.0,0.188,0.18266666666666667
3_0.5_1_2,1,0.07523422688245773,0.030933333560824394,0.7519999742507935,0.07815786451101303,0.0285333339124918,0.7746666669845581,0.0,0.08933333333333333,0.06533333333333333
3_0.5_1_2,2,0.07623400539159775,0.03213333338499069,0.7426666617393494,0.08195391297340393,0.029866667464375496,0.7586666941642761,0.0,0.09066666666666667,0.088
3_1.5_2_2,1,0.250247985124588,0.12053333222866058,0.35066667199134827,0.37338945269584656,0.1106666699051857,0.4906666576862335,0.0,0.5253333333333333,0.344
3_1.5_2_2,2,0.25382333993911743,0.11786666512489319,0.36800000071525574,0.4659550189971924,0.11346666514873505,0.47066667675971985,0.0,0.49066666666666664,0.348
