experiment_path,seed,model1_loss,model1_hamming,model1_accuracy,model2_loss,model2_hamming,model2_accuracy,y_test_violation,model_1_violation,model_2_violation
1_0.6000000000000001_1_3,1,0.04942680522799492,0.02146666683256626,0.8399999737739563,0.05239352956414223,0.015466666780412197,0.8880000114440918,0.0,0.05466666666666667,0.0026666666666666666
1_3.6_1_3,1,0.10606446862220764,0.041333332657814026,0.7720000147819519,0.20358580350875854,0.03519999980926514,0.8373333215713501,0.0,0.12933333333333333,0.02666666666666667
1_3.4000000000000004_1_2,1,0.20392949879169464,0.08426667004823685,0.7680000066757202,2.297649621963501,0.08733333647251129,0.828000009059906,0.0,0.164,0.064
1_1.6_1_2,1,0.15963244438171387,0.06786666810512543,0.6840000152587891,0.2298727184534073,0.047733332961797714,0.8240000009536743,0.0,0.16933333333333334,0.03333333333333333
1_0.6000000000000001_1_2,1,0.05819237232208252,0.02226666733622551,0.8479999899864197,0.06203091889619827,0.018533334136009216,0.8866666555404663,0.0,0.044,0.0013333333333333333
1_3.6_1_2,1,0.2261817902326584,0.09426666796207428,0.8119999766349792,2.3881402015686035,0.10159999877214432,0.8186666369438171,0.0,0.088,0.056
1_2.8000000000000003_1_1,1,0.07650803029537201,0.026266666129231453,0.9026666879653931,0.27555060386657715,0.023733332753181458,0.918666660785675,0.0,0.03333333333333333,0.014666666666666666
1_1.6_1_3,1,0.10867956280708313,0.041466668248176575,0.7599999904632568,0.176659494638443,0.03306666761636734,0.8506666421890259,0.0,0.12933333333333333,0.018666666666666668
1_3.4000000000000004_1_3,1,0.10669349879026413,0.041200000792741776,0.7760000228881836,0.18299974501132965,0.035066667944192886,0.8453333377838135,0.0,0.124,0.028
1_1.4000000000000001_1_1,1,0.11123069375753403,0.046266667544841766,0.7360000014305115,0.14111265540122986,0.030799999833106995,0.8346666693687439,0.0,0.108,0.037333333333333336
1_3.0_1_3,1,0.12960773706436157,0.05106666684150696,0.7333333492279053,0.16259361803531647,0.03920000046491623,0.8360000252723694,0.0,0.14533333333333334,0.02666666666666667
1_1.0_1_2,1,0.07963590323925018,0.031199999153614044,0.7973333597183228,0.07582955807447433,0.02319999970495701,0.8560000061988831,0.0,0.08266666666666667,0.017333333333333333
1_3.2_1_2,1,0.2084241360425949,0.0849333330988884,0.734666645526886,1.0756641626358032,0.0825333297252655,0.8253333568572998,0.0,0.19333333333333333,0.029333333333333333
1_3.0_1_2,1,0.22402743995189667,0.09279999881982803,0.6986666917800903,1.4202717542648315,0.09493333101272583,0.7586666941642761,0.0,0.18,0.04133333333333333
1_3.2_1_3,1,0.10286343097686768,0.04013333469629288,0.7786666750907898,0.1590639352798462,0.03146666660904884,0.8560000061988831,0.0,0.12533333333333332,0.028
1_1.0_1_3,1,0.09221971780061722,0.035733334720134735,0.7826666831970215,0.10816851258277893,0.025866666808724403,0.8640000224113464,0.0,0.07333333333333333,0.010666666666666666
1_0.8_1_1,1,0.05909435451030731,0.02199999988079071,0.8333333134651184,0.052326858043670654,0.015333333052694798,0.9053333401679993,0.0,0.076,0.009333333333333334
1_4.0_1_2,1,0.22490093111991882,0.09440000355243683,0.800000011920929,2.724729537963867,0.09733333438634872,0.8413333296775818,0.0,0.10666666666666667,0.02666666666666667
1_4.800000000000001_1_3,1,0.08400173485279083,0.03440000116825104,0.8306666612625122,0.2885448634624481,0.029466666281223297,0.8773333430290222,0.0,0.07733333333333334,0.018666666666666668
1_0.4_1_2,1,0.04153381660580635,0.014933333732187748,0.8733333349227905,0.04012805223464966,0.012133332900702953,0.9013333320617676,0.0,0.02666666666666667,0.005333333333333333
1_3.8000000000000003_1_1,1,1.3440862858260516e-06,0.0,1.0,2.0645245513151167e-07,0.0,1.0,0.0,0.0,0.0
1_2.6_1_2,1,0.17470796406269073,0.06746666878461838,0.746666669845581,0.459199994802475,0.06213333457708359,0.8146666884422302,0.0,0.128,0.014666666666666666
1_4.2_1_3,1,0.07574700564146042,0.030266666784882545,0.8213333487510681,0.13029345870018005,0.026266666129231453,0.8759999871253967,0.0,0.08266666666666667,0.02
1_2.4000000000000004_1_3,1,0.11640284955501556,0.04493333399295807,0.7613333463668823,0.14409299194812775,0.03533333167433739,0.843999981880188,0.0,0.11333333333333333,0.03333333333333333
1_2.6_1_3,1,0.12806694209575653,0.05026666820049286,0.7546666860580444,0.2907082736492157,0.03880000114440918,0.8426666855812073,0.0,0.13066666666666665,0.037333333333333336
1_0.4_1_3,1,0.038083333522081375,0.017733333632349968,0.8586666584014893,0.04094836860895157,0.011866666376590729,0.9039999842643738,0.0,0.036,0.0013333333333333333
